country_code,SpatialDimType,year,value,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3
145,UNREGION,2019,0.07825,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE45-49,ENVCAUSE,ENVCAUSE_ENVCAUSE118
COG,COUNTRY,2019,5.01437,SEX,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,
HUN,COUNTRY,2019,6.38549,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,
202,UNREGION,2019,0.0239,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE75-79,ENVCAUSE,ENVCAUSE_ENVCAUSE068
NGA,COUNTRY,2019,8.55979,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE113,,
AMR,REGION,2019,0.80058,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGEAll,ENVCAUSE,ENVCAUSE_ENVCAUSE068
UNSDG_WESTERNASIANORTHERNAFR,UNSDGREGION,2019,0.03301,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE40-44,ENVCAUSE,ENVCAUSE_ENVCAUSE118
UNSDG_LAC,UNSDGREGION,2019,0.55313,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE55-59,ENVCAUSE,ENVCAUSE_ENVCAUSE113
145,UNREGION,2019,0.14994,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE45-49,ENVCAUSE,ENVCAUSE_ENVCAUSE068
BHS,COUNTRY,2019,12.01914,SEX,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,
UNSDG_EUROPENORTHERNAMR,UNSDGREGION,2019,0.6877,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE70-74,ENVCAUSE,ENVCAUSE_ENVCAUSE114
30,UNREGION,2019,0.61901,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE50-54,ENVCAUSE,ENVCAUSE_ENVCAUSE068
MNG,COUNTRY,2019,24.39905,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,
ISR,COUNTRY,2019,3.35897,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,
WB_HI,WORLDBANKINCOMEGROUP,2019,0.0244,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE0-4,ENVCAUSE,ENVCAUSE_ENVCAUSE039
LAO,COUNTRY,2019,2.20124,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,
419,UNREGION,2019,0.12021,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE75-79,ENVCAUSE,ENVCAUSE_ENVCAUSE068
21,UNREGION,2019,0.02132,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE30-34,ENVCAUSE,ENVCAUSE_ENVCAUSE113
202,UNREGION,2019,0.02472,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE80+,ENVCAUSE,ENVCAUSE_ENVCAUSE068
143,UNREGION,2019,0.04068,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE45-49,ENVCAUSE,ENVCAUSE_ENVCAUSE068
UNSDG_CENTRALASIASOUTHERNASIA,UNSDGREGION,2019,2.87434,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE55-59,ENVCAUSE,ENVCAUSE_ENVCAUSE113
UNSDG_WESTERNASIANORTHERNAFR,UNSDGREGION,2019,1.60185,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE55-59,ENVCAUSE,ENVCAUSE_ENVCAUSE113
FSM,COUNTRY,2019,0.55748,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,
WB_HI,WORLDBANKINCOMEGROUP,2019,0.12471,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE60-64,ENVCAUSE,ENVCAUSE_ENVCAUSE039
SUR,COUNTRY,2019,16.09842,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE113,,
21,UNREGION,2019,0.04202,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE30-34,ENVCAUSE,ENVCAUSE_ENVCAUSE113
KAZ,COUNTRY,2019,67.58674,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,
UNSDG_OCEANIAexAUSNZL,UNSDGREGION,2019,0.03802,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE30-34,ENVCAUSE,ENVCAUSE_ENVCAUSE039
EMR,REGION,2019,0.07087,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE15-19,ENVCAUSE,ENVCAUSE_ENVCAUSE039
